,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Operating Expenses,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Income From Continuous Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Cash On Hand,Receivables,Inventory,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Share Holder Equity,Total Liabilities And Share Holders Equity,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
9/30/24,94930,51051,43879,7765,6523,14288,19,29610,14874,14736,14736,14736,32502,29591,15343.78,15408.09,0.99,0.97,65171,66243,7286,14287,152987,45680,91479,,74834,211993,364980,176392,85750,45888,131638,308030,83276,-19154,-7172,56950,364980,14736,2911,2556,5467,-10485,-1087,21191,-3011,6608,26811,-10290,0,0,11926,0,11926,-191,1445,1445,-2558,6945,4387,-25083,-25083,-3804,-448,-24948,3308,2858,-3804,0.8673,0.6009,1.8723,46.2225,31.1714,31.1714,31.1914,15.523,0.2601,7.0067,1.4331,62.8028,25.8753,25.8753,4.0375,10.3266,3.7673,1.7169,1.0489
6/30/24,85777,46099,39678,8006,6320,14326,142,25494,4046,21448,21448,21448,28202,25352,15287.52,15348.17,1.4,1.4,61801,43172,6165,14297,125435,44502,91240,,70435,206177,331612,131624,86196,47084,133280,264904,79850,-4726,-8416,66708,331612,21448,2850,2876,5726,-1030,-12,1539,1187,1684,28858,5231,0,0,-4970,0,-4970,-388,-127,-127,-4250,997,-3253,-26522,-26522,-3895,-2347,-36017,-7286,2869,-3895,0.953,0.5637,1.5186,46.2572,29.5557,29.5557,29.7213,25.0044,0.2587,7.4775,1.9869,45.2975,32.1521,32.1521,6.4678,14.0271,4.3823,1.9109,2.2496
3/31/24,90753,48482,42271,7903,6468,14371,158,28058,4422,23636,23636,23636,30736,27900,15405.86,15464.71,1.53,1.53,67150,41150,6232,13884,128416,43546,95187,,70262,208995,337411,123822,91831,47564,139395,263217,78815,4339,-8960,74194,337411,23636,2836,1982,4818,1172,190,-12168,5042,-5764,22690,-1996,0,0,2131,0,2131,-445,-310,-310,-3150,2,-3148,-23205,-23205,-3710,-370,-30433,-8053,2964,-3710,1.0371,0.5531,1.4097,46.5781,30.7428,30.7428,30.9169,26.0443,0.269,7.7795,2.2054,40.8086,31.857,31.857,7.0051,14.2364,4.8374,1.4858,1.3556
12/31/23,119575,64720,54855,7696,6786,14482,-50,40323,6407,33916,33916,33916,43221,40373,15509.76,15576.64,2.19,2.18,73100,50102,6511,13979,143692,43666,99475,,66681,209822,353514,133973,95088,50353,145441,279414,75236,8242,-9378,74100,353514,33916,2848,2008,4856,6555,-137,-4542,-753,1123,39895,-2392,,,4603,,4603,-284,1927,1927,,-3984,-3984,-20139,-20139,-3825,-2637,-30585,11237,2997,-3825,1.0725,0.562,1.458,45.875,33.7637,33.7637,33.7219,28.3638,0.3382,9.9401,2.3866,37.7101,45.7706,45.7706,9.594,20.0463,4.7929,2.5612,2.4076
9/30/23,89498,49071,40427,7307,6151,13458,29,26998,4042,22956,22956,22956,29622,26969,15744.23,15812.55,1.47,1.47,61555,60985,6331,14695,143566,43715,100544,,64758,209017,352583,145308,95281,49848,145129,290437,73812,-214,-11452,62146,352583,22956,2653,2049,4702,-9297,952,14901,-12616,-6060,21598,-6122,0,0,9100,0,9100,-584,2394,2394,0,1993,1993,-21003,-21003,-3758,-385,-23153,839,2625,-3758,0.988,0.6052,1.7875,45.1708,30.1336,30.1336,30.166,25.6497,0.2538,7.7509,1.4675,61.3271,36.9388,36.9388,6.5108,14.582,3.9965,1.3525,0.9661
6/30/23,81797,45384,36413,7442,5973,13415,-265,22733,2852,19881,19881,19881,26050,22998,15697.61,15775.02,1.27,1.26,62482,39186,7351,13640,122659,43550,104061,,64768,212379,335038,124963,98071,51730,149801,274764,70667,1408,-11801,60274,335038,19881,3052,2698,5750,-1987,-22,3974,-1216,749,26380,1866,0,0,-923,0,-923,-506,437,437,-2272,1989,-283,-17478,-17478,-3849,-2438,-24048,2769,2617,-3849,0.9816,0.6194,1.8131,44.5163,28.116,28.116,27.792,24.3053,0.2441,6.1739,2.0874,43.1158,32.9844,32.9844,5.934,12.5555,3.8519,1.6902,1.8066
3/31/23,94836,52860,41976,7457,6201,13658,64,28382,4222,24160,24160,24160,31216,28318,15787.15,15847.05,1.53,1.52,55872,35899,7482,13660,112913,43398,110461,,65388,219247,332160,120075,97041,52886,149927,270002,69568,4336,-11746,62158,332160,24160,2898,1271,4169,5321,-741,-14689,10340,231,28560,-2916,0,0,5341,0,5341,-106,2319,2319,-2250,254,-1996,-19594,-19594,-3650,-484,-25724,5155,2686,-3650,0.9404,0.6096,1.7635,44.2617,29.86,29.86,29.9275,25.4756,0.2855,7.065,2.6417,34.0684,38.8687,38.8687,7.2736,15.176,3.9532,1.8169,1.6312
12/31/22,117154,66822,50332,7709,6607,14316,-393,35623,5625,29998,29998,29998,38932,36016,15892.72,15955.72,1.89,1.88,51355,54180,6820,16422,128777,42951,114095,,60924,217970,346747,137286,99627,53107,152734,290020,66399,3240,-12912,56727,346747,29998,2916,2588,5504,4275,-1807,-6075,2110,-1497,34005,-3787,,,2483,,2483,-141,-1445,-1445,-1401,-8214,-9615,-19475,-19475,-3768,-2705,-35563,-3003,2905,-3768,0.938,0.6372,1.9587,42.9623,30.7424,30.7424,30.407,25.6056,0.3379,9.7979,2.1623,41.6221,52.8813,52.8813,8.6513,19.186,3.5807,2.1312,1.8939
9/30/22,90146,52051,38095,6761,6440,13201,-237,24657,3936,20721,20721,20721,27759,24894,16215.96,16325.82,1.3,1.29,48304,60932,4946,21223,135405,42117,120805,,54428,217350,352755,153982,98959,49142,148101,302083,64849,-3068,-11109,50672,352755,20721,2865,589,3454,-6384,435,15556,-9655,-48,24127,-3289,0,0,2806,0,2806,-734,-1217,-1217,2672,-1015,1657,-24428,-24428,-3703,-320,-26794,-3884,2278,-3703,0.8794,0.6614,2.3695,42.2592,27.6152,27.6152,27.3523,22.9861,0.2555,10.5239,1.4795,60.8333,40.8924,40.8924,5.874,13.8481,3.1782,1.4544,1.2547
6/30/22,82959,47074,35885,6797,6012,12809,-10,23066,3624,19442,19442,19442,25881,23076,16162.95,16262.2,1.2,1.2,48231,42242,5433,16386,112292,40335,131077,,52605,224017,336309,129873,94700,53629,148329,278202,62115,5289,-9297,58107,336309,19442,2805,3870,6675,-981,-16,-4358,2130,-3225,22892,-2102,0,0,6953,0,6953,-617,4234,4234,-3000,3971,971,-21865,-21865,-3811,-2740,-27445,-319,2243,-3811,0.8646,0.6197,2.0598,43.2563,27.8162,27.8162,27.8041,23.4357,0.2467,8.6645,1.9639,45.8272,33.459,33.459,5.781,12.7232,3.6102,1.4474,1.3153
