,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Cash On Hand,Receivables,Inventory,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit,Comprehensive Income,Share Holder Equity,Total Liabilities And Share Holders Equity,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
9/30/24,65585,20099,45486,7544,7390,14934,30552,-283,30269,5602,24667,,24667,24667,37935,30552,7433,7470,3.32,3.3,78428,44148,1626,25724,149926,152863,15778,146125,37793,373087,523013,115200,42868,55617,120090,235290,102976,188929,-4182,287723,523013,24667,7383,-4279,3104,14037,-373,-916,-7355,6409,34180,-14923,,-1849,,2484,2484,-913,-15201,-966,-5746,-6712,-3401,-3401,-5574,-889,-16576,2525,2832,-5574,1.3014,0.1297,0.1568,69.3543,46.5838,46.5838,,46.1523,37.6107,0.1254,12.361,1.4856,60.5828,8.5732,17.4204,4.7163,7.4615,38.6933,4.5756,2.5779
6/30/24,64727,19684,45043,8056,9062,17118,27925,-675,27250,5214,22036,,22036,22036,34305,27925,7431,7469,2.97,2.94,75543,56924,1246,26021,159734,135591,14600,146817,36460,352429,512163,125286,42688,54995,118400,243686,100923,173144,-5590,268477,512163,22036,6380,17252,23632,-13246,55,4204,1320,-8473,37195,-13873,0,-1342,0,749,749,-382,-14848,-4675,-9335,-14010,-3676,-3676,-5574,-303,-23563,-1319,2696,-5574,1.275,0.1372,0.1923,69.5892,43.1427,43.1427,,42.0999,34.0445,0.1264,15.7978,1.1371,79.1503,8.2078,18.1128,4.3025,7.0818,36.1147,4.9843,3.1252
3/31/24,61858,18505,43353,7653,8119,15772,27581,-854,26727,4788,21939,,21939,21939,33608,27581,7431,7472,2.95,2.94,80021,44029,1304,21826,147180,121375,14807,147991,35551,337095,484275,118525,42658,50057,112598,231123,99193,159394,-5435,253152,484275,21939,6027,784,6811,-2028,260,648,1665,3167,31917,-10952,0,-1575,0,3108,3108,-1281,-10700,-13430,4383,-9047,-3691,-3691,-5572,-498,-18808,2329,2703,-5572,1.2418,0.1442,0.2585,70.0847,44.5876,44.5876,,43.207,35.4667,0.1277,14.191,1.4049,64.0598,8.6663,20.8623,4.5303,7.4166,34.0579,4.268,2.8037
12/31/23,62020,19623,42397,7142,8223,15365,27032,-506,26526,4656,21870,,21870,21870,32991,27032,7432,7468,2.94,2.93,81017,42831,1615,21930,147393,112308,13367,148827,32265,323165,470558,121016,44928,46677,111274,232290,97480,145737,-4949,238268,470558,21870,5959,-4214,1745,-2951,1474,-2521,790,-4762,18853,-9735,0,-65029,0,1492,1492,1347,-71925,7857,-8490,-633,-3739,-3739,-5574,-201,-10147,-63147,2828,-5574,1.218,0.1586,0.3115,68.3602,43.5859,43.5859,,42.7701,35.2628,0.1318,12.1505,1.448,62.154,9.1787,24.4519,4.6477,7.7226,32.0597,2.5212,1.2187
9/30/23,56517,16302,40215,6659,6661,13320,26895,389,27284,4993,22291,,22291,22291,30816,26895,7429,7462,3,2.99,143951,36953,3000,23682,207586,102502,11423,76685,32154,238199,445785,124792,41946,41617,100279,225071,95508,132143,-6937,220714,445785,22291,3921,-2173,1748,11034,-505,1214,-6624,6544,30583,-9917,,-1186,,12588,12588,-982,503,5573,18692,24265,-4146,-4146,-5051,-307,14761,45748,2507,-5051,1.6635,0.1597,0.324,71.1556,47.5875,47.5875,,48.2757,39.4412,0.1268,5.434,1.5294,58.8455,10.0995,15.4767,5.0004,8.4866,29.7018,4.0985,2.7695
6/30/23,56189,16795,39394,6739,8401,15140,24254,473,24727,4646,20081,,20081,20081,28128,24254,7446,7472,2.71,2.68,111262,48688,2500,21807,184257,95641,9879,77252,30601,227719,411976,104149,41990,43541,101604,205753,93718,118848,-6343,206223,411976,20081,3874,14796,18670,-11244,374,1311,-1103,-9981,28770,-8943,0,-341,0,419,419,-269,-9134,-2750,1750,-1000,-5192,-5192,-5054,-167,-11413,8142,2416,-5054,1.7692,0.1692,0.2291,70.1098,43.165,43.165,,44.0068,35.7383,0.1364,6.718,1.1541,77.9854,9.7375,15.5702,4.8743,8.0902,27.748,3.842,2.6478
3/31/23,52857,16128,36729,6984,7393,14377,22352,321,22673,4374,18299,,18299,18299,25901,22352,7441,7464,2.46,2.45,104427,37420,2877,19165,163889,88132,9415,77819,26954,216199,380088,85691,41965,42437,99714,185405,92093,108234,-5644,194683,380088,18299,3549,569,4118,-1408,106,-407,2319,2024,24441,-6607,0,-301,0,5330,5330,-1686,-3264,1750,-1750,0,-4973,-4973,-5059,-258,-10290,10916,2465,-5059,1.9126,0.1773,0.2476,69.4875,42.2877,42.2877,,42.895,34.6198,0.1391,5.6058,1.4125,63.7153,9.3994,15.6584,4.8144,7.7326,26.1776,3.28,2.3929
12/31/22,52747,17488,35259,6844,8016,14860,20399,-60,20339,3914,16425,,16425,16425,24047,20399,7451,7473,2.2,2.2,99508,35833,2980,19502,157823,82755,7097,78259,24994,206729,364552,81718,44119,40648,99698,181416,90225,99368,-6457,183136,364552,16425,3648,-3739,-91,-3164,1305,-2058,1619,-5161,11173,-6274,0,-679,0,104,104,-301,-7150,-750,0,-750,-5216,-5216,-5066,-317,-11349,-7238,2538,-5066,1.9313,0.1941,0.2627,66.8455,38.6733,38.6733,,38.5595,31.1392,0.1447,5.8685,1.472,61.1404,8.9687,15.6612,4.5055,7.2276,24.5919,1.5001,0.6591
9/30/22,50122,15452,34670,6628,6524,13152,21518,54,21572,4016,17556,,17556,17556,24308,21518,7457,7485,2.35,2.35,107262,31279,4268,18003,160812,77037,6839,78267,23482,198972,359784,87389,45374,39023,98829,186218,88535,92374,-7343,173566,359784,17556,2790,-2343,447,11729,-543,-1567,-4834,5195,23198,-6283,,-349,,4360,4360,-860,-3132,-1000,,-1000,-4998,-4998,-4621,-264,-10883,8953,2192,-4621,1.8402,0.2072,0.2801,69.1712,42.9313,42.9313,,43.039,35.0265,0.1393,3.6204,1.6024,56.1652,10.1149,18.422,4.8796,8.0186,23.2756,3.0993,2.2599
6/30/22,51865,16429,35436,6849,8053,14902,20534,-47,20487,3747,16740,,16740,16740,24513,20534,7496,7540,2.24,2.24,104757,44261,3742,16924,169684,74398,6891,78822,21897,195156,364840,95082,47032,41595,103216,198298,86939,84281,-4678,166542,364840,16740,3979,14983,18962,-12634,-461,2659,354,-11073,24629,-6871,0,-1263,0,-457,-457,-1138,-9729,0,0,0,-8296,-8296,-4632,-341,-13269,1433,1997,-4632,1.7846,0.2202,0.2989,68.3235,39.5913,39.5913,,39.5006,32.2761,0.1422,4.3904,1.1718,76.805,10.0515,19.0835,4.5883,7.838,22.3127,3.2597,2.3502
